District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Kensington Hill,,
Central & Western,Samtoh Building,,
Central & Western,Sum Way Mansion,,
Central & Western,Central Mansion,,
Central & Western,"Block A, New Fortune House",,
Central & Western,"Block B, New Fortune House",,
Central & Western,Jadeview Court,,
Central & Western,Po Ga Building,,
Central & Western,25-27 Po Tuck Street,,
Central & Western,Suen Yue Building,,
Central & Western,Kiu Fat Building,,
Central & Western,Siu Cheung Building,,
Central & Western,Joyful Building,,
Central & Western,"Block A, La Clare Mansion",,
Central & Western,Lee Wah Mansion,,
Central & Western,"Block A, Chong Yip Centre",,
Central & Western,"Block C, Chong Yip Centre",,
Central & Western,"Block 2, Cayman Rise",,
Central & Western,Hillview,,
Central & Western,Nam Pak Hong Building,,
Central & Western,Nam Cheong Building,,
Central & Western,Nan Hai Mansion,,
Central & Western,Namhung Mansion,,
Central & Western,Hau Fook Building,,
Central & Western,Garley Building,,
Central & Western,Corona Tower,,
Central & Western,Garfield Mansion,,
Central & Western,"Block B, Smithfield Terrace",,
Central & Western,"Block D, Smithfield Terrace",,
Central & Western,Skylight Tower,,
Central & Western,"Tower 3, Tregunter",,
Central & Western,"Phase 1, Kwan Yick Building",,
Central & Western,"Block C, Phase 2, Kwan Yick Building",,
Central & Western,"Block A, Phase 3, Kwan Yick Building",,
Central & Western,"Block B, Phase 3, Kwan Yick Building",,
Central & Western,Caineway Mansion,,
Central & Western,"Block C, Smithfield Garden",,
Central & Western,Tai Shan House,,
Central & Western,Tai Ping Mansion,,
Central & Western,Tai Cheung Building,,
Central & Western,12-15 Tai Pak Terrace,,
Central & Western,Old Bailey Street Police Married Quarters,,
Central & Western,Wealthy Heights,,
Central & Western,"Block 1, Academic Terrace",,
Central & Western,"Block 2, Academic Terrace",,
Central & Western,"Block 3, Academic Terrace",,
Central & Western,West Grand Court,,
Central & Western,"Tower 2, Regence Royale",,
Central & Western,Fortune Villa,,
Central & Western,"Block 1, Scenic Heights",,
Central & Western,Fu Yin Court,,
Central & Western,Parkway Court,,
Central & Western,Po Tak Building,,
Central & Western,Borrett Mansions,,
Central & Western,Bonham Court,,
Central & Western,"Tower 2, The Belcher's",,
Central & Western,"Block B, Belcher Court",,
Central & Western,Nice Garden,,
Central & Western,Whitty Street Court,,
Central & Western,"Tower 2, Queen's Terrace",,
Central & Western,55 Conduit Road,,
Central & Western,Goodwill Garden,,
Central & Western,"Block A, Hongway Garden",,
Central & Western,"Block B, Hongway Garden",,
Central & Western,Comfort Court,,
Central & Western,Tak Lee Building,,
Central & Western,Tak Yan Building,,
Central & Western,"Lee Wah Building, 111-117 Des Voeux Road West",,
Central & Western,"Hang Yue Building, 334-350 Des Voeux Road West",,
Central & Western,406 Des Voeux Road West,,
Central & Western,408D Des Voeux Road West,,
Central & Western,Yee Ga Court,,
Central & Western,Greenview Court,,
Central & Western,Hang Fai Building,,
Central & Western,"Block 2, Estoril Court",,
Central & Western,"Block 2, Vantage Park",,
Central & Western,Chi Ping Building,,
Central & Western,19 Upper Lascar Row,,
Central & Western,28 Bonham Strand,,
Central & Western,Sun On Building,,
Central & Western,Sun King House,,
Central & Western,Sun Fat Building,,
Central & Western,The Nova,,
Central & Western,"Block E, Po Hing Mansion",,
Central & Western,Hill Court,,
Central & Western,High West,,
Central & Western,Tung Lee Mansion,,
Central & Western,Tung Hing Court,,
Central & Western,Tung Shing Terrace,,
Central & Western,"Hong Ning House, Tung Fai Gardens",,
Central & Western,38-42 Eastern Street,,
Central & Western,Barker Villa,,
Central & Western,"Block A, 25 Park Road Government Quarters",,
Central & Western,Grand Court,,
Central & Western,To Li Garden,,
Central & Western,Yip Cheong Building,,
Central & Western,"Block 1, Winner Court",,
Central & Western,"Block 2, Winner Court",,
Central & Western,Roc Ye Court,,
Central & Western,Ryan Mansion,,
Central & Western,Goodview Court,,
Central & Western,Ching Tak Building,,
Central & Western,"Phase 1, Blessings Garden",,
Central & Western,Alassio,,
Central & Western,"Block 1, Yuk Ming Towers",,
Central & Western,Winsing Building,,
Central & Western,Wing Cheung Building,,
Central & Western,Wing Wah Mansion,,
Central & Western,"Block 3, The Merton",,
Central & Western,Sea View Mansion,,
Central & Western,"Block A, Hoi Tao Building",,
Central & Western,"Block B, Hoi Tao Building",,
Central & Western,Chester Court,,
Central & Western,"Block B, Pearl Court",,
Central & Western,Silver Court,,
Central & Western,Fat Lee Mansion,,
Central & Western,Pak Hoo Mansion,,
Central & Western,"Block 2, Centenary Mansion",,
Central & Western,Bel Mount Garden,,
Central & Western,219-223 Queen's Road West,,
Central & Western,True Light Building,,
Central & Western,Fook Moon Building,,
Central & Western,Floral Tower,,
Central & Western,Rhenish Mansion,,
Central & Western,Wing Cheung Court,,
Central & Western,47-53 First Street,,
Central & Western,62C Robinson Road,,
Central & Western,"Block 2, 80 Robinson Road",,
Central & Western,May Sun Building,,
Central & Western,"Block B, Mei Sun Lau",,
Central & Western,"Block 2, Smithfield Court",,
Central & Western,"Block 10, Hee Wong Terrace",,
Central & Western,Jade Court,,
Central & Western,"Tower 1, University Heights",,
Central & Western,Centrestage,,
Central & Western,Luen Gay Apartments,,
Central & Western,Luen On Apartments,,
Central & Western,Luen Tak Apartments,,
Central & Western,Luen Fat Apartments,,
Central & Western,Luen Yick Building,,
Central & Western,Hing Tai Building,,
Central & Western,Hing Fat Mansion,,
Central & Western,2 Old Peak Road,,
Central & Western,56 Bonham Road,,
Central & Western,"Tower A, Hollywood Terrace",,
Central & Western,Wah Lee Building,,
Central & Western,Wah Po Building,,
Central & Western,"Wah Yan House, Wah Ha Estate",,
Central & Western,"Block C, Wah Ming Centre",,
Central & Western,Wah Fai Court,,
Central & Western,Valverde,,
Central & Western,Two Artlane,,
Central & Western,Evora Building,,
Central & Western,Sai Wan New Apartments,,
Central & Western,"Tower 1, Kwun Lung Lau",,
Central & Western,"Block A, Kwun Lung Lau",,
Central & Western,"Block B, Kwun Lung Lau",,
Central & Western,"Block C, Kwun Lung Lau",,
Central & Western,"Block D, Kwun Lung Lau",,
