District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Kensington Hill,,
Central & Western,Samtoh Building,,
Central & Western,Sum Way Mansion,,
Central & Western,Chung Ah Building,,
Central & Western,Central Mansion,,
Central & Western,"Block A, New Fortune House",,
Central & Western,"Block B, New Fortune House",,
Central & Western,Jadeview Court,,
Central & Western,Scholastic Garden,,
Central & Western,Imperial Terrace,,
Central & Western,Elite's Place,,
Central & Western,Po Ga Building,,
Central & Western,25-27 Po Tuck Street,,
Central & Western,Siu On Building,,
Central & Western,Siu Cheung Building,,
Central & Western,Sincere Western House,,
Central & Western,Joyful Building,,
Central & Western,"Block A, La Clare Mansion",,
Central & Western,Lee Wah Mansion,,
Central & Western,"Block A, Chong Yip Centre",,
Central & Western,"Block B, Chong Yip Centre",,
Central & Western,"Block C, Chong Yip Centre",,
Central & Western,"Block 2, Cayman Rise",,
Central & Western,Nam Pak Hong Building,,
Central & Western,Nam Cheong Building,,
Central & Western,Nan Hai Mansion,,
Central & Western,Namhung Mansion,,
Central & Western,Hau Fook Building,,
Central & Western,Conduit Tower,,
Central & Western,Garley Building,,
Central & Western,Cartwright Gardens,,
Central & Western,"Block A, Ka Fu Building",,
Central & Western,Caravan Court,,
Central & Western,Corona Tower,,
Central & Western,Emerald Garden,,
Central & Western,Garfield Mansion,,
Central & Western,"Block B, Smithfield Terrace",,
Central & Western,"Block D, Smithfield Terrace",,
Central & Western,Skylight Tower,,
Central & Western,Kwok Ga Building,,
Central & Western,"Phase 1, Kwan Yick Building",,
Central & Western,"Block C, Phase 2, Kwan Yick Building",,
Central & Western,"Phase 3, Kwan Yick Building",,
Central & Western,"Block A, Phase 3, Kwan Yick Building",,
Central & Western,"Block B, Phase 3, Kwan Yick Building",,
Central & Western,Kennedy Town Centre,,
Central & Western,"Block C, Smithfield Garden",,
Central & Western,8 Tai On Terrace,,
Central & Western,Swire Building,,
Central & Western,Tai Shan House,,
Central & Western,12-15 Tai Pak Terrace,,
Central & Western,Old Bailey Street Police Married Quarters,,
Central & Western,Good Times Building,,
Central & Western,"Block 1, Academic Terrace",,
Central & Western,"Block 3, Academic Terrace",,
Central & Western,On Wing Building,,
Central & Western,West Grand Court,,
Central & Western,Ibis Hong Kong Central & Sheung Wan Hotel,,
Central & Western,"Tower 2, Regence Royale",,
Central & Western,Fu Ga Building,,
Central & Western,Fortune Villa,,
Central & Western,"Block 1, Scenic Heights",,
Central & Western,Wealth Building,,
Central & Western,Po Garden,,
Central & Western,Parkway Court,,
Central & Western,Po Tak Mansion,,
Central & Western,Borrett Mansions,,
Central & Western,Bonham Court,,
Central & Western,Botanical Court,,
Central & Western,"Tower 2, The Belcher's",,
Central & Western,"Tower 5, The Belcher's",,
Central & Western,"Tower 6, The Belcher's",,
Central & Western,"Block B, Belcher Court",,
Central & Western,The Bauhinia,,
Central & Western,Nice Garden,,
Central & Western,Whitty Street Court,,
Central & Western,Sung Ling Mansion,,
Central & Western,"Tower 2, Queen's Terrace",,
Central & Western,"Tower 1, Dynasty Court",,
Central & Western,Ping On Mansion,,
Central & Western,Goodwill Garden,,
Central & Western,"Block A, Hongway Garden",,
Central & Western,"Block B, Hongway Garden",,
Central & Western,Comfort Court,,
Central & Western,"Tower 1, Kwong Fung Terrace",,
Central & Western,Kin Liong Mansion,,
Central & Western,Des Voeux Road West Building,,
Central & Western,Tak Tung House,,
Central & Western,Des Voeux Building,,
Central & Western,237 Des Voeux Road West,,
Central & Western,"Hang Yue Building, 334-350 Des Voeux Road West",,
Central & Western,406 Des Voeux Road West,,
Central & Western,Yee Ga Court,,
Central & Western,"Block 1, Elegant Garden",,
Central & Western,"Block 2, Elegant Garden",,
Central & Western,Greenview Court,,
Central & Western,Hang Yue Building,,
Central & Western,"Block 2, Estoril Court",,
Central & Western,"Block 2, Vantage Park",,
Central & Western,Chi Ping Building,,
Central & Western,19 Upper Lascar Row,,
Central & Western,Man Kwong Court,,
Central & Western,28 Bonham Strand,,
Central & Western,Mandarin Building,,
Central & Western,Sun Shing Building,,
Central & Western,New Start Building,,
Central & Western,Sun King House,,
Central & Western,Brilliant Court,,
Central & Western,The Nova,,
Central & Western,"Block E, Po Hing Mansion",,
Central & Western,Hill Court,,
Central & Western,High West,,
Central & Western,Tung Lee Mansion,,
Central & Western,Tung Hing Court,,
Central & Western,Tung Shing Terrace,,
Central & Western,"Hong Ning House, Tung Fai Gardens",,
Central & Western,38-42 Eastern Street,,
Central & Western,Barker Villa,,
Central & Western,Grand Court,,
Central & Western,To Li Garden,,
Central & Western,Yip Cheong Building,,
Central & Western,"Block 1, Winner Court",,
Central & Western,"Block 2, Winner Court",,
Central & Western,"Tower 3, Robinson Heights",,
Central & Western,Ryan Mansion,,
Central & Western,Goodview Court,,
Central & Western,Ching Tak Building,,
Central & Western,"Phase 1, Blessings Garden",,
Central & Western,"Block 1, Yuk Ming Towers",,
Central & Western,"Block 2, Yuk Ming Towers",,
Central & Western,144 Wing Lok Street,,
Central & Western,Wing Cheung Building,,
Central & Western,"Block J, Wing Wah Mansion",,
Central & Western,"Block 3, The Merton",,
Central & Western,The Hudson,,
Central & Western,"Tower 2, Harbour View Garden",,
Central & Western,Hoi Sing Building,,
Central & Western,"Block 1, Hoi Sing Building",,
Central & Western,Hoi Tao Building,,
Central & Western,"Block A, Hoi Tao Building",,
Central & Western,"Block B, Hoi Tao Building",,
Central & Western,Yuen Fai Court,,
Central & Western,Winsome Park,,
Central & Western,Chester Court,,
Central & Western,"Block B, Pearl Court",,
Central & Western,Silver Court,,
Central & Western,Fat Lee Mansion,,
Central & Western,Pak Hoo Mansion,,
Central & Western,"Block 1, Centenary Mansion",,
Central & Western,"Block 2, Centenary Mansion",,
Central & Western,Bel Mount Garden,,
Central & Western,219-223 Queen's Road West,,
Central & Western,228 Queen's Road West,,
Central & Western,393 Queen's Road West,,
Central & Western,"Tai Pak Court, Ying Ga Garden",,
Central & Western,"To Li Court, Ying Ga Garden",,
Central & Western,"Block A, Yick Fung Garden",,
Central & Western,True Light Building,,
Central & Western,Fook Moon Building,,
