District,Building name,Last date of visit of the case(s),Related cases
Eastern,"Yat Yee House, Yee Tsui Court",,
Eastern,Ming Yuen Centre,,
Eastern,"Block 1, Ming Wah Dai Ha",,
Eastern,Tung On Building,,
Eastern,"Tung Hiu House, Tung Yuk Court",,
Eastern,"Foon Yan House, Tung Yan Court",,
Eastern,"Tower 2, Eastway Towers",,
Eastern,Tung Keung Building,,
Eastern,"Block D, Tung Fat Building",,
Eastern,"King Hei House, Tung Hei Court",,
Eastern,"Wah Hei House, Tung Hei Court",,
Eastern,Tung Lam Court,,
Eastern,"Fai Tao House, Tung Tao Court",,
Eastern,Kam Wai Building,,
Eastern,Kam Hoi Building,,
Eastern,"Block 11, Nan Fung Sun Chuen",,
Eastern,"Block 7, Nan Fung Sun Chuen",,
Eastern,Kingsway Garden,,
Eastern,Kin Yip Court,,
Eastern,Hang Ying House,,
Eastern,Hanking Court,,
Eastern,"Block A5, Coral Court",,
Eastern,King's House,,
Eastern,"Hiu Fung House, Fung Wah Estate",,
Eastern,"Wan Ying House, Chai Wan Estate",,
Eastern,"Wan Poon House, Chai Wan Estate",,
Eastern,"Tower 1, Sky Horizon",,
Eastern,"Ko Fung Court, Harbour Heights",,
Eastern,Harbour Court,,
Eastern,Yick Cheong Building,,
Eastern,Yick Fat Building,,
Eastern,Yik Hon Building,,
Eastern,48 Marble Road,,
Eastern,"Block 2, Koway Court",,
Eastern,"Block A, Healthy Gardens",,
Eastern,"Block B, Healthy Gardens",,
Eastern,"Block D, Healthy Gardens",,
Eastern,"Pak Yeung Lau, Healthy Village",,
Eastern,"Chung Shu Lau, Healthy Village",,
Eastern,Odeon Building,,
Eastern,"Block 3, Kornhill Gardens",,
Eastern,"Block 6, Kornhill Gardens",,
Eastern,"Block 7, Kornhill Gardens",,
Eastern,"Block 8, Kornhill Gardens",,
Eastern,"Block C, Kornhill",,
Eastern,"Block E, Kornhill",,
Eastern,"Block G, Kornhill",,
Eastern,"Block N, Kornhill",,
Eastern,"Block Q, Kornhill",,
Eastern,"Block A, Mount Parker Lodge",,
Eastern,"Block C, Mount Parker Lodge",,
Eastern,Tak Lee Building,,
Eastern,Chuang's Heights,,
Eastern,Capitol Mansion,,
Eastern,"Block 3, Cheerful Garden",,
Eastern,"Block 5, Cheerful Garden",,
Eastern,"Block 2, Harmony Garden",,
Eastern,"Block 7, Harmony Garden",,
Eastern,Fu Yan Court,,
Eastern,"Block 11, Fullview Garden",,
Eastern,"Block 4, Fullview Garden",,
Eastern,"Block 5, Fullview Garden",,
Eastern,"Block 7, Fullview Garden",,
Eastern,"Block 9, Fullview Garden",,
Eastern,"Fu Bon Court, Fortress Garden",,
Eastern,Wai Lee Building,,
Eastern,King Man Court,,
Eastern,Three Island Place,,
Eastern,Wah Shun Gardens,,
Eastern,Waldorf Apartments,,
Eastern,"Wah Yan House, Wah Ha Estate",,
Eastern,Wah Yu Court,,
Eastern,Wah Shing Mansion,,
Eastern,Wah Hing Building,,
Eastern,Wah Hai Mansion,,
Eastern,"Tsui Lan Mansion, Westlands Court",,
Eastern,"Le Printemps, Les Saisons",,
Eastern,"L'Ete, Les Saisons",,
Eastern,Alice Court,,
Eastern,"Oi Yuk House, Oi Tung Estate",,
Eastern,"Oi Yat House, Oi Tung Estate",,
Eastern,"Oi Chak House, Oi Tung Estate",,
Eastern,"Block 1, Aldrich Garden",,
Eastern,"Block 3, Aldrich Garden",,
Eastern,"Block 5, Aldrich Garden",,
Eastern,"Block 8, Aldrich Garden",,
Eastern,"Block B, Sun Sing Centre",,
Eastern,Sun Lee Building,,
Eastern,"Block D, Sunway Gardens",,
Eastern,"Block 6, New Jade Garden",,
Eastern,Man Hong Apartments,,
Eastern,"Tower 2, The Tanner Hill",,
Eastern,"Block A, Kiu Kwan Mansion",,
Eastern,"Tower 5, Grand Promenade",,
Eastern,"Block A, Carson Mansion",,
Eastern,"Block A, Ka Wai Building",,
Eastern,Moon Wah Building,,
Eastern,"Yue Chun House, Yue Wan Estate",,
Eastern,"Yue Shun House, Yue Wan Estate",,
Eastern,Fortune Mansion,,
Eastern,Fok Wah Mansion,,
Eastern,"Tsui Hong House, Tsui Wan Estate",,
Eastern,"Tsui Ning House, Tsui Wan Estate",,
Eastern,"Tsui Fuk House, Tsui Wan Estate",,
Eastern,"Block 1, Le Sommet",,
Eastern,"Block 2, Lok Hin Terrace",,
Eastern,Lok Kwan House,,
Eastern,"Tower 1, Neptune Terrace",,
Eastern,"Man Hong House, Model Housing Estate",,
Eastern,"Man Fu House, Hing Man Estate",,
Eastern,"Man Yat House, Hing Man Estate",,
Eastern,"Man Chak House, Hing Man Estate",,
Eastern,"Hing Hong House, Hing Tung Estate",,
Eastern,"On Hing House, Hing Wah Estate",,
Eastern,"Cheuk Wah House, Hing Wah Estate",,
Eastern,"Wo Hing House, Hing Wah Estate",,
Eastern,"Chin Hing House, Hing Wah Estate",,
Eastern,"Ning Hing House, Hing Wah Estate",,
Eastern,"Lok Hing House, Hing Wah Estate",,
Eastern,"Shing Tsui House, Wan Tsui Estate",,
Eastern,"Hei Tsui House, Wan Tsui Estate",,
Eastern,"Chak Tsui House, Wan Tsui Estate",,
Eastern,Luen Wo Apartments,,
Eastern,"Block 15, Braemar Hill Mansions",,
Eastern,"Block 2, Braemar Hill Mansions",,
Eastern,Hung Yat Building,,
Eastern,"Tower 2, Island Resort",,
Eastern,"Tower 3, Island Resort",,
Eastern,"On Hiu Mansion, Lei King Wan",,
Eastern,"Block 1, Pacific Palisades",,
Eastern,"Yiu Ming House, Yiu Tung Estate",,
Eastern,"Yiu Fu House, Yiu Tung Estate",,
Eastern,"Yiu Wah House, Yiu Tung Estate",,
Eastern,"Yiu Lok House, Yiu Tung Estate",,
Eastern,"Yiu Fung House, Yiu Tung Estate",,
Islands,Ha Ling Pei,,
Islands,Tai Tei Tong,,
Islands,Tai Yuen New Village,,
Islands,Tai San Street,,
Islands,Tai Wo Tsuen,,
Islands,House of Tai Hing Tai Road,,
Islands,Tai Lung Tsuen,,
Islands,Hill Side Road,,
Islands,Chung Hing San Street,,
Islands,Pak Ngan Heung,,
Islands,On Wing Centre,,
Islands,Chi Yan Lane,,
Islands,Sha Po Old Village,,
Islands,"Tower 10, The Visionary",,
Islands,"Tower 2, The Visionary",,
Islands,"Tower 6, The Visionary",,
Islands,House of The Visionary,,
Islands,"Starview, Parkridge Village",,
Islands,"Block 2, Tung Chung Crescent",,
Islands,"Block 6, Tung Chung Crescent",,
Islands,"Tower 2B, Century Link",,
Islands,"Ying Yuet House, Ying Tung Estate",,
Islands,"Ying Hei House, Ying Tung Estate",,
Islands,"Ying Fook House, Ying Tung Estate",,
Islands,"Ying Chui House, Ying Tung Estate",,
Islands,"Cheung Fung House, Cheung Kwai Estate",,
Islands,Nam She Tong,,
Islands,Nam Pin Wai,,
Islands,Nam Wan San Tsuen,,
Islands,"Tower 10, Carmel Cove, Caribbean Coast",,
Islands,"Tower 3, Monterey Cove, Caribbean Coast",,
Islands,"Tower 5, Monterey Cove, Caribbean Coast",,
Islands,"Tower 16, Crystal Cove, Caribbean Coast",,
Islands,Sea View House,,
Islands,Lai Chi Yuen,,
Islands,Ko Shan Tsuen,,
Islands,Mui Wo Rural Committee Road,,
Islands,Mui Wo Kau Tsuen,,
Islands,"Mountain View, Parkridge Village, Discovery Bay",,
Islands,"Beach Village, Discovery Bay",,
Islands,"Tai Yat House, Yat Tung Estate",,
Islands,"Chau Yat House, Yat Tung Estate",,
Islands,"Heung Yat House, Yat Tung Estate",,
Islands,"Ying Yat House, Yat Tung Estate",,
Islands,"Hong Yat House, Yat Tung Estate",,
Islands,"Ching Yat House, Yat Tung Estate",,
Islands,"Kit Yat House, Yat Tung Estate",,
Islands,"Sin Yat House, Yat Tung Estate",,
Islands,"Mun Yat House, Yat Tung Estate",,
Islands,"Yu Yat House, Yat Tung Estate",,
Islands,"Him Yat House, Yat Tung Estate",,
Islands,"Po Yat House, Yat Tung Estate",,
Islands,"Ho Chak House, Nga Ning Court",,
Islands,Wong Ka Wai,,
Islands,Tong Fuk Tsuen,,
Islands,"Hei Tung House, Yu Tung Court",,
Islands,"Hor Tung House, Yu Tung Court",,
Islands,"Yu Yuet House, Yu Tai Court",,
Islands,"Mun Wo House, Mun Tung Estate",,
Islands,"Mun Tai House, Mun Tung Estate",,
Islands,"Mun Hong House, Mun Tung Estate",,
Islands,"Mun Shun House, Mun Tung Estate",,
Islands,"Block 3, Greenery Crest",,
Islands,"Ngan Yuk House, Ngan Ho Court",,
Islands,Silver Centre Building,,
Islands,"Ngan Yat House, Ngan Wan Estate",,
Islands,"Ngan Yuet House, Ngan Wan Estate",,
Islands,"Ngan Hung House, Ngan Wan Estate",,
Islands,Wang Tong,,
Islands,Lung Tsai Tsuen,,
Islands,"Block 1, Coastal Skyline",,
Islands,Lo Uk Tsuen,,
Islands,Regala Skycity Hotel,,
Islands,Ham Tin San Tsuen,,
Kowloon City,AVA55,,
Kowloon City,Downtown 38,,
Kowloon City,Kowloon Chamber Of Commerce Building,,
Kowloon City,To Kwa Wan Mansion,,
Kowloon City,136 To Kwa Wan Road,,
Kowloon City,Chung Hwa Building,,
Kowloon City,Seven Victory Avenue,,
Kowloon City,22 Pak Tai Street,,
Kowloon City,24A Pak Tai Street,,
Kowloon City,24 Pak Tai Street,,
Kowloon City,26 Pak Tai Street,,
