District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Eredine,03/09/2022,
Central & Western,The Icon,03/09/2022,
Central & Western,The Jervois,03/09/2022,
Central & Western,Sum Way Mansion,03/09/2022,
Central & Western,"Block A, Midland Centre",03/09/2022,
Central & Western,47B Elgin Street,03/09/2022,
Central & Western,Scholastic Garden,03/09/2022,
Central & Western,Elite's Place,03/09/2022,
Central & Western,Viking Court,03/09/2022,
Central & Western,Pak Tak Building,03/09/2022,
Central & Western,Lee Fung Building,03/09/2022,
Central & Western,"Block B, Chong Yip Centre",03/09/2022,
Central & Western,The Pierre,03/09/2022,
Central & Western,"Block 2, Cayman Rise",03/09/2022,
Central & Western,Nam Pak Hong Building,03/09/2022,
Central & Western,Namning Mansion,03/09/2022,
Central & Western,Nan Sang Building,03/09/2022,
Central & Western,"Block A, Nam Hung Mansion",03/09/2022,
Central & Western,"Block B, Nam Hung Mansion",03/09/2022,
Central & Western,Conduit Tower,03/09/2022,
Central & Western,Wo On Building,03/09/2022,
Central & Western,Wo Fat Building,03/09/2022,
Central & Western,Wo Yick Mansion,03/09/2022,
Central & Western,Ka Yee Court,03/09/2022,
Central & Western,Carol Mansion,03/09/2022,
Central & Western,"Block B, Smithfield Terrace",03/09/2022,
Central & Western,"Block D, Smithfield Terrace",03/09/2022,
Central & Western,Kwok Ga Building,03/09/2022,
Central & Western,"Block A, Phase 3, Kwan Yick Building",03/09/2022,
Central & Western,"Block B, Phase 3, Kwan Yick Building",03/09/2022,
Central & Western,Caine Mansion,03/09/2022,
Central & Western,Tai Tak Mansion,03/09/2022,
Central & Western,Tin Hing Mansion,03/09/2022,
Central & Western,Swire Building,03/09/2022,
Central & Western,Tai Ping Mansion,03/09/2022,
Central & Western,Tai Pak Court,03/09/2022,
Central & Western,Old Bailey Street Police Married Quarters,03/09/2022,
Central & Western,"Block 1, Academic Terrace",03/09/2022,
Central & Western,"Block 3, Academic Terrace",03/09/2022,
Central & Western,"Block 2, Scenic Heights",03/09/2022,
Central & Western,"Tower 1, The Belcher's",03/09/2022,
Central & Western,"Tower 2, The Belcher's",03/09/2022,
Central & Western,"Tower 5, The Belcher's",03/09/2022,
Central & Western,"Tower 6, The Belcher's",03/09/2022,
Central & Western,"Tower 8, The Belcher's",03/09/2022,
Central & Western,Kui Yan Court,03/09/2022,
Central & Western,Whitty Street Court,03/09/2022,
Central & Western,Sung Ling Mansion,03/09/2022,
Central & Western,Babington Hill,03/09/2022,
Central & Western,"Tower 2, Queen's Terrace",03/09/2022,
Central & Western,"Tower 1, Dynasty Court",03/09/2022,
Central & Western,Wellesley,03/09/2022,
Central & Western,"Block C, Imperial Court",03/09/2022,
Central & Western,Skyline Mansion,03/09/2022,
Central & Western,Cordial Mansion,03/09/2022,
Central & Western,Conway Mansion,03/09/2022,
Central & Western,Yee Lin Mansion,03/09/2022,
Central & Western,Tak Tung House,03/09/2022,
Central & Western,223 Des Voeux Road West,03/09/2022,
Central & Western,Yee Fung Court,03/09/2022,
Central & Western,Wai Tak Building,03/09/2022,
Central & Western,Wai Wah Court,03/09/2022,
Central & Western,"Block 1, Scenecliff",03/09/2022,
Central & Western,Chi Ping Building,03/09/2022,
Central & Western,Sun Shing Mansion,03/09/2022,
Central & Western,Sun King House,03/09/2022,
Central & Western,Cheung Ling Mansion,03/09/2022,
Central & Western,The Nova,03/09/2022,
Central & Western,Kingsfield Tower,03/09/2022,
Central & Western,Panorama Gardens,03/09/2022,
Central & Western,Hill Court,03/09/2022,
Central & Western,Hatton Place,03/09/2022,
Central & Western,"Hong Ning House, Tung Fai Gardens",03/09/2022,
Central & Western,4 Eastern Street,03/09/2022,
Central & Western,Yip Cheong Building,03/09/2022,
Central & Western,Wing Foo Building,03/09/2022,
Central & Western,Rockson Mansion,03/09/2022,
Central & Western,"Block 2, Robinson Heights",03/09/2022,
Central & Western,Roc Ye Court,03/09/2022,
Central & Western,Flourish Court,03/09/2022,
Central & Western,Winsome House,03/09/2022,
Central & Western,Woodlands Court,03/09/2022,
Central & Western,The Hudson,03/09/2022,
Central & Western,"Block C, Hoi Tao Building",03/09/2022,
Central & Western,Tim Po Court,03/09/2022,
Central & Western,"Block B, Pearl Court",03/09/2022,
Central & Western,Bohemian House,03/09/2022,
Central & Western,All Fit Garden,03/09/2022,
Central & Western,"Block 2, Centenary Mansion",03/09/2022,
Central & Western,Park Mansions,03/09/2022,
Central & Western,Pak Fai Mansion,03/09/2022,
Central & Western,"To Li Court, Ying Ga Garden",03/09/2022,
Central & Western,"Block B, Greenland Garden",03/09/2022,
Central & Western,Losion Villa,03/09/2022,
Central & Western,63 Third Street,03/09/2022,
Central & Western,Harbour One,03/09/2022,
Central & Western,"Tower 1, Island Crest",03/09/2022,
Central & Western,Mei Shing Mansion,03/09/2022,
Central & Western,Medal Court,03/09/2022,
Central & Western,"Block 1, Smithfield Court",03/09/2022,
Central & Western,Merry Court,03/09/2022,
Central & Western,Tsui On Court,03/09/2022,
Central & Western,Tsui King Court,03/09/2022,
Central & Western,"Tower 2, University Heights",03/09/2022,
Central & Western,Luen Hong Apartments,03/09/2022,
Central & Western,Luen Fat Apartments,03/09/2022,
Central & Western,"London Court, Realty Gardens",03/09/2022,
Central & Western,"Vienna Court, Realty Gardens",03/09/2022,
Central & Western,"Tower A, Hollywood Terrace",03/09/2022,
Central & Western,Wah Po Building,03/09/2022,
Central & Western,Wah Lap House,03/09/2022,
Central & Western,Woodland Gardens,03/09/2022,
Central & Western,Wah Fai House,03/09/2022,
Central & Western,Wah Fai Court,03/09/2022,
Central & Western,Visalia Garden,03/09/2022,
Central & Western,Two Artlane,03/09/2022,
Central & Western,"Evergreen Tower, Western Garden",03/09/2022,
Central & Western,Serene Court,03/09/2022,
Central & Western,Soho 189,03/09/2022,
Central & Western,14 Western Street,03/09/2022,
Central & Western,Pan View Court,03/09/2022,
Central & Western,"Block 2, Kwun Lung Lau",03/09/2022,
Central & Western,"Block B, Kwun Lung Lau",03/09/2022,
Central & Western,"Block C, Kwun Lung Lau",03/09/2022,
Central & Western,"Block D, Kwun Lung Lau",03/09/2022,
Central & Western,Fung Lam Building,03/09/2022,
Central & Western,Fung Yu Building,03/09/2022,
Central & Western,"Tower 2, Euston Court",03/09/2022,
Central & Western,5A Chancery Lane,03/09/2022,
Central & Western,Fair Wind Manor,03/09/2022,
Central & Western,Palatial Crest,03/09/2022,
Central & Western,Excelsior Court,03/09/2022,
Central & Western,Talon Tower,03/09/2022,
Central & Western,La Maison Du Nord,03/09/2022,
Central & Western,Cambridge Gardens,03/09/2022,
Central & Western,High House,03/09/2022,
Central & Western,Golden Phoenix Court,03/09/2022,
Central & Western,Kenyon Court,03/09/2022,
Central & Western,"Tower 1, Robinson Place",03/09/2022,
Central & Western,"Tower 2, Robinson Place",03/09/2022,
Central & Western,"Block 1, Cloudlands",03/09/2022,
Central & Western,"Lee Hysan Hall, The University of Hong Kong",03/09/2022,
Central & Western,"Chi Sun College, The University Of Hong Kong Jockey Club Student Village 3",03/09/2022,
Central & Western,Valiant Park,03/09/2022,
Central & Western,"Block 3, Connaught Garden",03/09/2022,
Central & Western,Manhattan Heights,03/09/2022,
Central & Western,Ko Shing Building,03/09/2022,
Central & Western,Goa Building,03/09/2022,
Central & Western,Goldwin Heights,03/09/2022,
Central & Western,Hung Kei Mansion,03/09/2022,
Central & Western,Beaudry Tower,03/09/2022,
Central & Western,Lascar Court,03/09/2022,
Central & Western,2 Macdonnell Road,03/09/2022,
Central & Western,Macdonnell House,03/09/2022,
Central & Western,Lung Cheung Garden,03/09/2022,
Central & Western,"Block D, Cloudridge",02/09/2022,
Central & Western,Gough Hill Residences,02/09/2022,
Central & Western,Imperial Kennedy,02/09/2022,
Central & Western,Lexington Hill,02/09/2022,
Central & Western,May Tower I,02/09/2022,
Central & Western,Tower 125,02/09/2022,
Central & Western,"Block B, Midland Centre",02/09/2022,
Central & Western,28 Arbuthnot Road,02/09/2022,
