District,Building name,Last date of visit of the case(s),Related cases
Central & Western,Kam Ning Mansion,13/09/2022,
Central & Western,23 South Lane,13/09/2022,
Central & Western,"Tower 1, Queen's Terrace",13/09/2022,
Central & Western,"Tower 3, Queen's Terrace",13/09/2022,
Central & Western,"Block B, Pearl Court",13/09/2022,
Central & Western,308 Queen's Road West,13/09/2022,
Central & Western,"St. John's College, The University of Hong Kong",13/09/2022,
Central & Western,"Block 2, Hoi Sing Building",13/09/2022,
Central & Western,"Block B, Hoi Tao Building",13/09/2022,
Central & Western,"Block A, Yick Fung Garden",13/09/2022,
Central & Western,57 Bonham Road,13/09/2022,
Central & Western,"Ko Shing Building, 48-66 Ko Shing Street",13/09/2022,
Central & Western,47-49 High Street,13/09/2022,
Central & Western,88-90 High Street,13/09/2022,
Central & Western,Goa Building,13/09/2022,
Central & Western,Grosvenor House,13/09/2022,
Central & Western,Goldwin Heights,13/09/2022,
Central & Western,Caine Mansion,13/09/2022,
Central & Western,Conway Mansion,13/09/2022,
Central & Western,Tim Po Court,13/09/2022,
Central & Western,101 First Street,13/09/2022,
Central & Western,122 Hollywood Road,13/09/2022,
Central & Western,11 Pollock's Path,13/09/2022,
Central & Western,The View Mansion,13/09/2022,
Central & Western,Greenview Gardens,13/09/2022,
Central & Western,Wah Lee Building,13/09/2022,
Central & Western,Emerald Gardens,13/09/2022,
Central & Western,Sun King House,13/09/2022,
Central & Western,"Tower A, Queen's Garden",13/09/2022,
Central & Western,"Block 2, Yue Sun Mansion",13/09/2022,
Central & Western,"Tower 1, Robinson Place",13/09/2022,
Central & Western,34 Graham Street,13/09/2022,
Central & Western,Carble Garden,13/09/2022,
Central & Western,13 Gough Street,13/09/2022,
Central & Western,Piccadilly Mansion,13/09/2022,
Central & Western,Fook Sing Court,13/09/2022,
Central & Western,Woodland Court,13/09/2022,
Central & Western,Elegant Garden,13/09/2022,
Central & Western,Fairmont Gardens,13/09/2022,
Central & Western,Jade Court,13/09/2022,
Central & Western,Caine Building,13/09/2022,
Central & Western,"Tower 1, Kwong Fung Terrace",13/09/2022,
Central & Western,"Tower 2, Elegant Terrace",13/09/2022,
Central & Western,Rockson Mansion,13/09/2022,
Central & Western,"Block 3, Academic Terrace",13/09/2022,
Central & Western,Hill Court,13/09/2022,
Central & Western,"Tower 5, Novum West",13/09/2022,
Central & Western,Kingearn Building,13/09/2022,
Central & Western,Kenyon Court,13/09/2022,
Central & Western,14-16 Aberdeen Street,13/09/2022,
Central & Western,14 Aberdeen Street,13/09/2022,
Central & Western,Monte Bello,13/09/2022,
Central & Western,"Rome Court, Realty Gardens",13/09/2022,
Central & Western,Fung Yat Building,13/09/2022,
Central & Western,Fung Yip Building,13/09/2022,
Central & Western,Po Shan Mansions,13/09/2022,
Central & Western,"Block B, Belcher Court",13/09/2022,
Central & Western,Po Hing Mansion,13/09/2022,
Central & Western,39 Conduit Road,12/09/2022,
Central & Western,Felicity Building,12/09/2022,
Central & Western,Sai On House,12/09/2022,
Central & Western,Sze Yap Building,12/09/2022,
Central & Western,Jing Tai Garden,12/09/2022,
Central & Western,Winsome House,12/09/2022,
Central & Western,Wing Shing Building,12/09/2022,
Central & Western,Wing Wah Mansion,12/09/2022,
Central & Western,Tung Hing Mansion,12/09/2022,
Central & Western,On Fat Building,12/09/2022,
Central & Western,On Lok Mansion,12/09/2022,
Central & Western,"Block 1, Centenary Mansion",12/09/2022,
Central & Western,Buxey Lodge,12/09/2022,
Central & Western,Sai Wan New Apartments,12/09/2022,
Central & Western,"Block B, Greenery Garden",12/09/2022,
Central & Western,"Block 2, Elegant Garden",12/09/2022,
Central & Western,"Block 1, The Merton",12/09/2022,
Central & Western,Po Ga Building,12/09/2022,
Central & Western,Seymour Place,12/09/2022,
Central & Western,Nam Wah Mansion,12/09/2022,
Central & Western,Nam Hung Mansion,12/09/2022,
Central & Western,Namning Mansion,12/09/2022,
Central & Western,Chi Ping Building,12/09/2022,
Central & Western,The Nova,12/09/2022,
Central & Western,House of Strawberry Hill,12/09/2022,
Central & Western,Mei Shing Mansion,12/09/2022,
Central & Western,"Block 1, Smithfield Court",12/09/2022,
Central & Western,"Block A, Mei Sun Lau",12/09/2022,
Central & Western,"Shun Hing College, The University Of Hong Kong Jockey Club Student Village 3",12/09/2022,
Central & Western,Hong Kong Garden,12/09/2022,
Central & Western,Alassio,12/09/2022,
Central & Western,"Phase 2, Blessings Garden",12/09/2022,
Central & Western,"Tower 2, Harbour View Garden",12/09/2022,
Central & Western,"Phase 1, Hoi Sing Building",12/09/2022,
Central & Western,Sea View Mansion,12/09/2022,
Central & Western,Manhattan Heights,12/09/2022,
Central & Western,"Block 2, Connaught Garden",12/09/2022,
Central & Western,49 Caine Road,12/09/2022,
Central & Western,Scenic Rise,12/09/2022,
Central & Western,Tse Lan Mansion,12/09/2022,
Central & Western,The Albany,12/09/2022,
Central & Western,Shun Tai Building,12/09/2022,
Central & Western,Old Bailey Street Police Married Quarters,12/09/2022,
Central & Western,Manifold Court,12/09/2022,
Central & Western,Bon-Point,12/09/2022,
Central & Western,The Grand Panorama,12/09/2022,
Central & Western,"Block 1, The Grand Panorama",12/09/2022,
Central & Western,"Block 3, The Grand Panorama",12/09/2022,
Central & Western,"Block B, Ka On Building",12/09/2022,
Central & Western,Glory Heights,12/09/2022,
Central & Western,Asiarich Court,12/09/2022,
Central & Western,"Block A, Ka Fu Building",12/09/2022,
Central & Western,Alpine Court,12/09/2022,
Central & Western,Full Harvest Building,12/09/2022,
Central & Western,Beau Cloud Mansion,12/09/2022,
Central & Western,Fook On Mansion,12/09/2022,
Central & Western,Ivy On Belcher's,12/09/2022,
Central & Western,Pokfield Garden,12/09/2022,
Central & Western,Bank Building,12/09/2022,
Central & Western,29 Mosque Junction,12/09/2022,
Central & Western,Chater Hall,12/09/2022,
Central & Western,"Tower 3, Hillsborough Court",12/09/2022,
Central & Western,"Block 10, Hee Wong Terrace",12/09/2022,
Central & Western,"Block 8, Hee Wong Terrace",12/09/2022,
Central & Western,"Tower 2, Novum West",12/09/2022,
Central & Western,Honor Villa,12/09/2022,
Central & Western,"Block A, Hing Wah Mansion",12/09/2022,
Central & Western,Kam Wah Building,12/09/2022,
Central & Western,Lung Cheung Garden,12/09/2022,
Central & Western,"Block 1, Dragonfair Garden",12/09/2022,
Central & Western,Luen Tak Building,12/09/2022,
Central & Western,Valiant Park,12/09/2022,
Central & Western,Rhenish Mansion,12/09/2022,
Central & Western,Fung Lam Building,12/09/2022,
Central & Western,One ArtLane,12/09/2022,
Central & Western,Lascar Court,12/09/2022,
Central & Western,"Block B, Tycoon Court",12/09/2022,
Central & Western,Belcher's Hill,12/09/2022,
Central & Western,6A Bowen Road,12/09/2022,
Central & Western,134 Jervois Street,12/09/2022,
Central & Western,"Block 2, Kwun Lung Lau",12/09/2022,
Central & Western,"Block A, Kwun Lung Lau",12/09/2022,
Central & Western,"Tower 2, 63 Pokfulam",11/09/2022,
Central & Western,Gough Hill Residences,11/09/2022,
Central & Western,Lexington Hill,11/09/2022,
Central & Western,The Icon,11/09/2022,
Central & Western,Man Kwong Court,11/09/2022,
Central & Western,Town Place Soho,11/09/2022,
Central & Western,Winsing Building,11/09/2022,
Central & Western,Wing Fong Mansion,11/09/2022,
Central & Western,"Tower 3, Tregunter",11/09/2022,
Central & Western,Hollywood Heights,11/09/2022,
Central & Western,Liang Ga Building,11/09/2022,
Central & Western,85 Belcher's Street,11/09/2022,
Central & Western,Ibis Hong Kong Central & Sheung Wan,11/09/2022,
Central & Western,Mount Davis 33,11/09/2022,
Central & Western,"Hong Ning House, Tung Fai Gardens",11/09/2022,
Central & Western,"Block A, Kam Ling Court",11/09/2022,
Central & Western,Chun King Court,11/09/2022,
Central & Western,"Block B, Imperial Court",11/09/2022,
Central & Western,"Block C, Imperial Court",11/09/2022,
Central & Western,Hang Fai Building,11/09/2022,
Central & Western,Woodlands Court,11/09/2022,
Central & Western,"Po Lung Court, Ying Ga Garden",11/09/2022,
Central & Western,"Block 2, Smithfield Court",11/09/2022,
Central & Western,"Chi Sun College, The University Of Hong Kong Jockey Club Student Village 3",11/09/2022,
Central & Western,Viking Court,11/09/2022,
Central & Western,Goodwill Garden,11/09/2022,
Central & Western,"Block A, Hongway Garden",11/09/2022,
Central & Western,Comfort Court,11/09/2022,
Central & Western,Fu Yin Court,11/09/2022,
Central & Western,"Block C, Wah Ming Centre",11/09/2022,
Central & Western,Skyview Cliff,11/09/2022,
Central & Western,Wah Fai Court,11/09/2022,
Central & Western,The Sail At Victoria,11/09/2022,
Central & Western,"Block 1, Yuk Ming Towers",11/09/2022,
Central & Western,"Block 2, Yuk Ming Towers",11/09/2022,
Central & Western,Million City,11/09/2022,
Central & Western,Kiu Sen Court,11/09/2022,
Central & Western,Corona Tower,11/09/2022,
Central & Western,Fook Moon Building,11/09/2022,
Central & Western,Villa De Victoria,11/09/2022,
Central & Western,Cameo Court,11/09/2022,
Central & Western,Primrose Court,11/09/2022,
Central & Western,Fairview Height,11/09/2022,
Central & Western,Ying Piu Mansion,11/09/2022,
