District,Building name,Last date of visit of the case(s),Related cases
Sham Shui Po,Po Hay Building,,
Tsuen Wan,"Block 1, New Haven",,
Islands,Penny's Bay Quarantine Centre,,
Islands,"Mun Wo House, Mun Tung Estate",,
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",,
Eastern,"Block 1, Ming Wah Dai Ha",,
Tsuen Wan,"Block 5, Rhine Garden",,
Shatin,"Chuk Chuen House, Shui Chuen O Estate",,
Shatin,"Foo Wo House, Wo Che Estate",,
Kwun Tong,"Kui On House, Wo Lok Estate",,
Islands,"Block 6, Coastal Skyline",,
Sham Shui Po,Cheung Hong Building,,
Kwai Tsing,"Kai Min Lau, Cho Yiu Chuen",,
Tsuen Wan,"Block B, Wah Shing Building",,
Tsuen Wan,"Glory Court, Tsuen Wan Garden",,
Kwai Tsing,"Chin Kwai House, Kwai Chung Estate",,
Eastern,"Yiu Fook House, Yiu Tung Estate",,
Tai Po,"Block 12, Tai Po Centre",,
Kwai Tsing,"Pik Kwai House, Kwai Chung Estate",,
Kwai Tsing,"Kwai Yan House, Kwai Fong Estate",,
Kwai Tsing,"Yuk Kwai House, Kwai Chung Estate",,
Kwai Tsing,"Nga Kwai House, Kwai Chung Estate",,
Kwai Tsing,"Hong Wo House, Cheung Hong Estate",,
Kwai Tsing,Tin On House,,
Kwai Tsing,"Chun Kwai House, Kwai Chung Estate",,
Sham Shui Po,Hing Fung Building,,
Tuen Mun,"Hing Ping House, Tai Hing Estate",,
Islands,"Block B, Lucky Court",,
Tsuen Wan,Panda Hotel,,
Islands,Regal Airport Hotel,,
Kowloon City,iclub Ma Tau Wai Hotel,,
Kwai Tsing,Dorsett Tsuen Wan Hong Kong,,
Wong Tai Sin,"Lung Lok House, Lower Wong Tai Sin Estate",,
Wong Tai Sin,"Block 1, Tropicana Gardens",,
Yuen Long,"Block 5, Chestwood Court, Kingswood Villas",,
Kowloon City,35 Hung Kwong Street,,
North,"Lai Ming House, Wah Ming Estate",,
Kwai Tsing,"Chui Kwai House, Kwai Chung Estate",,
Kwai Tsing,"Luk Kwai House, Kwai Chung Estate",,
Shatin,"Heng Kong House, Heng On Estate",,
Shatin,"Mei King House, Mei Tin Estate",,
North,"Wong Yi House, Queen's Hill Estate",,
Islands,"Mun Shun House, Mun Tung Estate",,
Kwai Tsing,"Pak Kwai House, Kwai Chung Estate",,
Yuen Long,"Yan Chui House, Tin Yan Estate",,
Kwai Tsing,"Ha Kwai House, Kwai Chung Estate",,
Wong Tai Sin,"Fu Yuen House, Chuk Yuen South Estate",,
Wong Tai Sin,"Block 5, Scenic View",,
Sham Shui Po,Kui Cheong Building,,
Kwai Tsing,"Fu Wah House, Tai Wo Hau Estate",,
Tsuen Wan,"Block M, Luk Yeung Sun Chuen",,
Tuen Mun,"Tower 2, Oceania Heights",,
Tsuen Wan,"Cheung Fat House, East Asia Gardens",,
Yuen Long,"Block 2, Grand Yoho",,
Kwai Tsing,"Fu Keung House, Tai Wo Hau Estate",,
North,"Fuk On House, Ka Fuk Estate",,
Islands,Shui Hau,,
Eastern,"Oi Ping House, Oi Tung Estate",,
Kwai Tsing,Sing Shing Building,,
Wong Tai Sin,"Tat Sin House, Upper Wong Tai Sin Estate",,
Tai Po,Sam Mun Tsai New Village,,
Wong Tai Sin,"Toa Yuen House, Chuk Yuen North Estate",,
Wong Tai Sin,"Man Tai House, Tsz Man Estate",,
Wan Chai,ECO Tree Hotel Causeway Bay,,
Wan Chai,Best Western Hotel Causeway Bay,,
Central & Western,Lan Kwai Fong Hotel @ Kau U Fong,,
Yau Tsim Mong,Dorsett Mongkok Hong Kong,,
Shatin,"Hang Sam House, King Tin Court",,
Yuen Long,"Tower 10, Park Signature",,
Yuen Long,"Block 2, La Grove",,
Tai Po,St. Martin Phase 1,,
Kwai Tsing,"On Kwai House, Kwai Fuk Court",,
Islands,"Po Yat House, Yat Tung (II) Estate",,
Yau Tsim Mong,136 Tai Nan Street,,
Sham Shui Po,"Wai Chun House, 26 Un Chau Street",,
Kwai Tsing,"Fu Tak House, Tai Wo Hau Estate",,
Central & Western,1A High Street,,
Islands,Ma Wan New Village,,
Shatin,"Fourth Lane, Wu Kai Sha Village",,
Kwun Tong,Dorsett Kwun Tong,,
Kwai Tsing,"Block D, New Kwai Fong Gardens",,
Tai Po,"Kwong Yan House, Kwong Fuk Estate",,
Islands,San Shek Wan Village,,
Shatin,"Chun Yi House, Chun Yeung Estate",,
Wong Tai Sin,"Cheung Bor House, Choi Wan (I) Estate",,
Tuen Mun,"Leung Wai House, Leung King Estate",,
Tsuen Wan,"Cheong Ning Building, Tsuen Cheong Centre",,
Islands,"La Rossa A, Coastal Skyline",,
Kwun Tong,"Lam Bik House, Lam Tin Estate",,
