District,Building name,Last date of visit of the case(s),Related cases
Central & Western,224-226 Des Voeux Road West,,
Central & Western,28 Ko Shing Street,,
Central & Western,"Block 1, 80 Robinson Road",,
Central & Western,"Block 1, Dragonfair Garden",,
Central & Western,"Block 1, Queen's Terrace",,
Central & Western,"Block 2, Centenary Mansion",,
Central & Western,"Block D, Kwun Lung Lau",,
Central & Western,Cimbria Court,,
Central & Western,Corona Tower,,
Central & Western,Fung Yu Building,,
Central & Western,Island Crest,,
Central & Western,Kennedy Town Centre,,
Central & Western,Kwan Yick Building Phase 1,,
Central & Western,Lascar Court,,
Central & Western,Luen Gay Apartments,,
Central & Western,Merry Court,,
Central & Western,Palatial Crest,,
Central & Western,Peaksville,,
Central & Western,Plantation Road,,
Central & Western,The Mayfair,,
Central & Western,"Tower 1, Yuk Ming Towers",,
Central & Western,"Tower 2, Euston Court",,
Central & Western,Villa Veneto,,
Central & Western,Yee Fung Court,,
Central & Western,Ying Pont Building,,
Eastern,1 Sai Wan Ho Street,,
Eastern,"Block 1, Cheerful Garden",,
Eastern,"Block 13, City Garden",,
Eastern,"Block 2, Cheerful Garden",,
Eastern,"Block 2, City Garden",,
Eastern,"Block 4, Harmony Garden",,
Eastern,"Block A, Kiu Kwan Mansion",,
Eastern,"Block A, Summit Court",,
Eastern,"Block A, Winner Centre",,
Eastern,"Block B, Belleve Court",,
Eastern,"Block D, Healthy Gardens",,
Eastern,"Block M, Kornhill",,
Eastern,Continental Mansion,,
Eastern,"Fu On Court, Fu On Court",,
Eastern,"Fu Wai Court, Fortress Garden",,
Eastern,"Gee Lan Mansion, Westlands Court",,
Eastern,Harbour Glory,,
Eastern,"Hei Tsui House, Wan Tsui Estate",,
Eastern,Hing Cheong Building,,
Eastern,"Hiu Fung House, Fung Wah Estate",,
Eastern,"Hong Chi Court, Healthy Village Phase 1",,
Eastern,Jade Mansion,,
Eastern,"Kam Chun House, Tung Chun Court",,
Eastern,"Kwai Tsui House, Wan Tsui Estate",,
Eastern,"Lok Hing House, Hing Wah (II) Estate",,
Eastern,"May Wah House, Hing Wah (I) Estate",,
Eastern,"MING WAH DAI HA BLOCK 1, Ming Wah Dai Ha",,
Eastern,"Oi Sin House, Oi Tung Estate",,
Eastern,"Pak Hoi Mansion, Taikoo Shing",,
Eastern,"Shing Tsui House, Wan Tsui Estate",,
Eastern,"Sui Fat House, Siu Sai Wan Estate",,
Eastern,"Tak Luk House, Walton Estate",,
Eastern,"Tak Shou House, Walton Estate",,
Eastern,"Tower 2, Grand Promenade",,
Eastern,"Tower 2, Pacific Palisades",,
Eastern,"Tower 5, Greenwood Terrace",,
Eastern,"Tower 5, Island Resort",,
Eastern,"Tower 7, Harbour Glory",,
Eastern,"Tower 7, Island Resort",,
Eastern,"Wah Yan House, Wah Ha Estate",,
Eastern,"Wong Kuk Lau, Healthy Village Estate Site III",,
Eastern,"Yee Tsui House, Wan Tsui Estate",,
Eastern,"Ying Tao House, Tung Tao Court",,
Eastern,"Yiu Fook House, Yiu Tung Estate",,
Eastern,"Yiu Hei House, Tung Hei Court",,
Eastern,"Yiu Hing House, Yiu Tung Estate",,
Eastern,"Yiu Wah House, Yiu Tung Estate",,
Eastern,"Yue On House, Yue Wan Estate",,
