District,Building name,Last date of visit of the case(s),Related cases
Wan Chai,Kew Green Hotel Wanchai Hong Kong,,13047
Southern,2-4 Tung Sing Road,,13047
Eastern,Lei Yue Mun Park and Holiday Village,,13051
Eastern,"Block B3, B4 & C2 Coral Court",,13051
Eastern,Lei Yue Mun Park and Holiday Village,,13052
Eastern,"Block B3, B4 & C2 Coral Court",,13052
Eastern,Lei Yue Mun Park and Holiday Village,,13053
Eastern,"Block B3, B4 & C2 Coral Court",,13053
Eastern,Lei Yue Mun Park and Holiday Village,,13056
Kwai Tsing,Dorsett Tsuen Wan Hong Kong,,13057
Southern,"Ka Sing House, Ka Lung Court",,13059
Eastern,Lei Yue Mun Park and Holiday Village,,13062
Sham Shui Po,"Po Wah Court, 450-464 Un Chau Street",,13063
Islands,Penny's Bay Quarantine Centre,,13063
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13064
Islands,Penny's Bay Quarantine Centre,,13064
Sham Shui Po,"Po Wah Court, 450-464 Un Chau Street",,13065
Islands,Penny's Bay Quarantine Centre,,13065
Sham Shui Po,"Po Wah Court, 450-464 Un Chau Street",,13066
Islands,Penny's Bay Quarantine Centre,,13066
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13067
Islands,Penny's Bay Quarantine Centre,,13067
Sham Shui Po,"Po Wah Court, 450-464 Un Chau Street",,13068
Islands,Penny's Bay Quarantine Centre,,13068
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13069
Islands,Penny's Bay Quarantine Centre,,13069
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13070
Islands,Penny's Bay Quarantine Centre,,13070
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13071
Islands,Penny's Bay Quarantine Centre,,13071
Sham Shui Po,"Stage 3, Mei Foo Sun Chuen, 72-74 Broadway",,13072
Southern,"Ka Sing House, Ka Lung Court",,13073
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13074
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",,13075
Kowloon City,iclub Ma Tau Wai Hotel,,13076
Wan Chai,Empire Hotel Causeway Bay,,13077
Kowloon City,Regal Oriental Hotel,,13078
Islands,"Tower 1, Monterey Cove, Phase 1, Caribbean Coast",,13079
Islands,Regal Airport Hotel,,13083
Sham Shui Po,"Po Wah Court, 450-464 Un Chau Street",,13084
Islands,Penny's Bay Quarantine Centre,,13084
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13085
Islands,Penny's Bay Quarantine Centre,,13086
Islands,Penny's Bay Quarantine Centre,,13087
Kwun Tong,"Tower 3, Grand Central",,13088
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13090
Islands,"Tower 1, Monterey Cove, Phase 1, Caribbean Coast",,13091
Tsuen Wan,"Block 6, Hanley Villa",,13092
Sha Tin,"Kam Yung House, Kam Fung Court",,13093
Wan Chai,Hotel Indigo Hong Kong Island,,13095
Kowloon City,O' Hotel,,13096
Islands,"Tower 7, Monterey Cove, Phase 2, Caribbean Coast",,13097
Islands,"Tower 7, Monterey Cove, Phase 2, Caribbean Coast",,13098
Islands,"Tower 7, Monterey Cove, Phase 2, Caribbean Coast",,13099
Kwai Tsing,"Hong Kwai House, Cheung Hong Estate",,13100
Sham Shui Po,"Fu Yuet House, Fu Cheong Estate",,13101
Sham Shui Po,"Cheung Yan House, Cheung Sha Wan Estate",,13103
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13104
Tsuen Wan,"Block 1, New Haven",,13107
Eastern,"Tower 1, Ming Wah Dai Ha",,13108
Southern,"Kong Cheong Court, Aberdeen Centre",,13110
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13111
Islands,Penny's Bay Quarantine Centre,,13111
Sham Shui Po,"Stage 3, Mei Foo Sun Chuen, 72-74 Broadway",,13112
Islands,Penny's Bay Quarantine Centre,,13112
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13113
Islands,Penny's Bay Quarantine Centre,,13113
Islands,Lo Wai Tsuen,,13114
Islands,Regal Airport Hotel,,13115
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13116
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13117
Southern,"Ka Sing House, Ka Lung Court",,13118
Islands,Penny's Bay Quarantine Centre,,13118
Yuen Long,"Shing Him House, Tin Shing Court",,13120
Islands,Penny's Bay Quarantine Centre,,13120
Islands,"Tower 1, Monterey Cove, Phase 1, Caribbean Coast",,13121
Islands,Penny's Bay Quarantine Centre,,13121
Sham Shui Po,"Stage 3, Mei Foo Sun Chuen, 72-74 Broadway",,13122
Islands,Penny's Bay Quarantine Centre,,13122
Southern,"Ka Sing House, Ka Lung Court",,13123
Islands,Penny's Bay Quarantine Centre,,13123
Sham Shui Po,"Mei Yue House, Shek Kip Mei Estate",,13124
Kwai Tsing,"Hong Kwai House, Cheung Hong Estate",,13125
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13126
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",,13127
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13128
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13129
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13130
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13131
Sham Shui Po,35-37 Nam Cheong Street,,13132
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13133
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13134
Tsuen Wan,Panda Hotel,,13134
Islands,Lo Wai Tsuen,,13135
Kwun Tong,"Tower 3, Grand Central",,13136
Islands,Penny's Bay Quarantine Centre,,13136
Islands,San Shek Wan Village,,13137
Islands,Lo Wai Tsuen,,13138
Islands,"Tin Ning House, Lung Tin Estate",,13139
Islands,"Block A, Yu Yuet House",,13140
Islands,Four Points by Sheraton Hong Kong Tung Chung,,13141
Sha Tin,"Kam Yung House, Kam Fung Court",,13142
Islands,Penny's Bay Quarantine Centre,,13142
Kwai Tsing,"Hong Kwai House, Cheung Hong Estate",,13143
Islands,Penny's Bay Quarantine Centre,,13143
Kwun Tong,"Tower 3, Grand Central",,13144
Islands,Penny's Bay Quarantine Centre,,13144
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",,13145
Kwai Tsing,"Fu Keung House, Tai Wo Hau Estate",,13146
Kwun Tong,"Lam Bik House, Lam Tin Estate",,13147
Sham Shui Po,Wai Chun House,,13148
Islands,"Tower 1, Monterey Cove",,13149
Islands,Penny's Bay Quarantine Centre,,13149
Islands,"Tower 7, Albany Cove",,13150
Islands,Penny's Bay Quarantine Centre,,13150
Eastern,Hong Kong Mansion,,13151
Islands,Penny's Bay Quarantine Centre,,13151
Islands,"Tower 7, Albany Cove",,13152
Islands,Penny's Bay Quarantine Centre,,13152
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13153
Islands,Penny's Bay Quarantine Centre,,13153
Southern,"Kong Cheong Court, Aberdeen Centre",,13154
Kwai Tsing,"Fu Tak House, Tai Wo Hau Estate",,13155
Sha Tin,"Chuk Chuen House, Shui Chuen O Estate",,13156
Central & Western,1A High Street,,13157
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13158
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",,13159
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13162
Eastern,Lei Yue Mun Park and Holiday Village,,13162
Islands,"La Rossa A, Coastal Skyline",,13163
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",,13167
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13168
Tsuen Wan,Nina Hotel Tsuen Wan West,,13169
Kwai Tsing,"Hiu Kwai House, Kwai Chung Estate",,13169
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13170
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13171
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13172
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13182
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13183
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13184
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13185
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13186
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13187
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13188
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13189
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13190
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13191
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13192
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13193
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13194
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13195
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13196
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13197
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13198
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13199
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13200
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13201
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13202
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13203
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13204
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13205
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13206
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13207
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13208
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13209
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13210
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13211
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13212
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13213
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13214
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13215
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13216
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13217
Sham Shui Po,Cheung Hong Building,,13218
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",,13219
Islands,Pui O San Wai Tsuen,,13220
Wan Chai,Perkins Road,,13221
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13222
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13223
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13224
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13225
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13226
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13227
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13228
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13229
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13230
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13231
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13232
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13233
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13234
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13235
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13236
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13237
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13238
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13239
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13240
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13241
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13242
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13243
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13244
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13245
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13246
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13247
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13248
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13249
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13250
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13251
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13252
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13253
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13254
Wong Tai Sin,"Sing San House, Choi Wan (I) Estate",,13255
Kwai Tsing,"Block C, New Kwai Fong Gardens",,13256
Sha Tin,Mei Pak Court,,13257
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13258
Tuen Mun,"Block 1, Kam Fai Garden",,13259
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13260
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",,13261
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",,13262
Tsuen Wan,"Block 1, New Haven",,13263
Islands,Penny's Bay Quarantine Centre,,13263
Tsuen Wan,"Block 1, New Haven",,13264
